"source","country","topic","key","value","success","reason","updated_at","search_result.page","search_result.position","search_result.type","search_result.id","search_result.url","search_result.name","search_result.brand_name","search_result.image_url","search_result.min_price","search_result.max_price","search_result.currency","search_result.review_count","search_result.review_rating","search_result.offer_count","search_result.flags"
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","1","product","B07L3NDN24","https://www.amazon.in/-/bn/dp/B07L3NDN24/","Zebronics Zeb-Fame 2.0 মাল্টি মিডিয়া স্পিকার্স AUX, USB এবং আওয়াজ নিয়ন্ত্রণের সাথে (কালো)","","https://m.media-amazon.com/images/I/81SHKIaQDXL._AC_UY654_QL65_.jpg","399.0","399.0","INR","124","100","","Amazon-এর পছন্দ"
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","2","product","B0DJ3FFC8R","https://www.amazon.in/-/bn/dp/B0DJ3FFC8R/","ZEBRONICS Astra 35, পোর্টেবল ব্লুটুথ স্পিকার, 16 Watts, 8h পর্যন্ত ব্যাকআপ, ডুয়াল ড্রাইভার + ডুয়াল প্যাসিভ রেডিয়েটর, কল ফাংশন, ব্লুটুথ v5.3 | USB | mSD| AUX, TWS, RGB LED","","https://m.media-amazon.com/images/I/71Gn7eWoLUL._AC_UY654_QL65_.jpg","829.0","829.0","INR","25","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","3","product","B0F5BC2161","https://www.amazon.in/-/bn/dp/B0F5BC2161/","boAt 2025 Launch Aavante 2.0 150, 2.0 CH, 16W সিগনেচার সাউন্ড, RGB LED, ডুয়াল ফুল-রেঞ্জ ড্রাইভার, 5H পর্যন্ত ব্যাটারি, TWS, মাল্টি পোর্ট, ব্লুটুথ সাউন্ড বার, হোম থিয়েটার সাউন্ডবার স্পিকার","","https://m.media-amazon.com/images/I/81t+HbL-ESL._AC_UY654_QL65_.jpg","1299.0","1299.0","INR","76","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","4","product","B07YNV41FT","https://www.amazon.in/-/bn/dp/B07YNV41FT/","Zebronics Zeb-county ব্লুটুথ স্পিকার সহ বিল্ট ইন FM রেডিও, Aux ইনপুট এবং কল ফাংশন","","https://m.media-amazon.com/images/I/71wAXhzCmnS._AC_UY654_QL65_.jpg","549.0","549.0","INR","322","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","5","product","B07ZZBYWKF","https://www.amazon.in/-/bn/dp/B07ZZBYWKF/","Zebronics স্পীকার","","https://m.media-amazon.com/images/I/71kIRMs8nQL._AC_UY654_QL65_.jpg","599.0","599.0","INR","242","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","6","product","B08FB396L1","https://www.amazon.in/-/bn/dp/B08FB396L1/","JBL Go 3, ওয়্যারলেস আল্ট্রা পোর্টেবল ব্লুটুথ স্পিকার, JBL Pro সাউন্ড, রাগড ফ্যাব্রিক ডিজাইন সহ প্রাণবন্ত রঙ, জলরোধী, টাইপ C (মাইক ছাড়া, নীল)","","https://m.media-amazon.com/images/I/71dV1Nr821L._AC_UY654_QL65_.jpg","2799.0","2799.0","INR","757","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","7","product","B0DH8CDH9J","https://www.amazon.in/-/bn/dp/B0DH8CDH9J/","Boat Stone 193 Pro / Stone190 Pro 5W সিগনেচার সাউন্ড সহ, 12 ঘন্টা অবধি প্লেটাইম, TWS ফিচার, বিল্ট-ইন মাইক, ব্লুটুথ v5.3, AUX পোর্ট, TF কার্ড, IPX6 এবং টাইপ-C ব্লুটুথ স্পিকার (ট্রপিকাল ব্লু)","","https://m.media-amazon.com/images/I/81M4DVkAbPL._AC_UY654_QL65_.jpg","899.0","899.0","INR","1","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","8","product","B0C4B6DT63","https://www.amazon.in/-/bn/dp/B0C4B6DT63/","পিসির জন্য Ant Esports GS170 গেমিং স্পিকার, স্টিরিও 2.0 USB পাওয়ারড ডেস্কটপ স্পিকার 3.5 mm অক্স-ইন, ইন-লাইন ভলিউম কন্ট্রোল, RGB LED লাইটস মিনি মাল্টিমিডিয়া স্পিকার PC, ল্যাপটপ, ট্যাবলেট, সেলফোনের","","https://m.media-amazon.com/images/I/611hOaZ2MVL._AC_UY654_QL65_.jpg","469.0","469.0","INR","2","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","9","product","B09XXW54QG","https://www.amazon.in/-/bn/dp/B09XXW54QG/","Marshall Emberton II ওয়্যারলেস ব্লুটুথ পোর্টেবল স্পিকার (কালো এবং পিতল)","","https://m.media-amazon.com/images/I/81fkcBjZndL._AC_UY654_QL65_.jpg","14999.0","14999.0","INR","5","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","10","product","B094RCC4L1","https://www.amazon.in/-/bn/dp/B094RCC4L1/","Mivi Play ব্লুটুথ স্পিকার 12 ঘন্টা প্লেটাইম। ব্যতিক্রমী সাউন্ড কোয়ালিটি, পোর্টেবল এবং বিল্ট ইন মাইক-ব্ল্যাক সহ ভারতে তৈরি ওয়্যারলেস স্পিকার","","https://m.media-amazon.com/images/I/71u1TBNrlWL._AC_UY654_QL65_.jpg","619.0","619.0","INR","246","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","11","product","B0FCFWGB8V","https://www.amazon.in/-/bn/dp/B0FCFWGB8V/","Dubstep Pop 1200 16 ঘন্টা অবধি প্লেটাইম, 52mm ডায়নামিক ড্রাইভার, 12W আউটপুট ব্লুটুথ ওয়্যারলেস স্পিকারের সাথে TWS পেয়ারিং (কালো)","","https://m.media-amazon.com/images/I/81oEXJtcuOL._AC_UY654_QL65_.jpg","599.0","599.0","INR","644","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","12","product","B0D6W7F7WH","https://www.amazon.in/-/bn/dp/B0D6W7F7WH/","Boat Stone 352 Pro/Stone 358 Pro w/ 14W সিগনেচার সাউন্ড, 12 ঘন্টা পর্যন্ত প্লেব্যাক, RGB LED, TWS ফিচার, বিল্ট-ইন মাইক, BTv5.3, JioSaavn ব্লুটুথ স্পিকারে ফ্রি মিউজিক স্ট্রিমিং (রেজিং ব্ল্যাক)","","https://m.media-amazon.com/images/I/71o6CU8MqVL._AC_UY654_QL65_.jpg","1499.0","1499.0","INR","23","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","13","product","B0BZ4DJ7GZ","https://www.amazon.in/-/bn/dp/B0BZ4DJ7GZ/","boAt Aavante Bar 610, 25W সিগনেচার সাউন্ড, 2.0 CH ডুয়াল প্যাসিভ রেডিয়েটার সহ, 7 HRS ব্যাটারি, স্লিক ডিজাইন, মাল্টি কানেক্টিভিটি, ব্লুটুথ সাউন্ড বার, সাউন্ডবার স্পিকার (চারকোল ব্ল্যাক)","","https://m.media-amazon.com/images/I/51SFh0i5HHL._AC_UY654_QL65_.jpg","1799.0","1799.0","INR","356","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","14","product","B07ZZCBQZD","https://www.amazon.in/-/bn/dp/B07ZZCBQZD/","ZEBRONICS Zeb-Pluto 2.0 মাল্টিমিডিয়া স্পিকার Aux কানেক্টিভিটি, USB পাওয়ারড এবং ভলিউম কন্ট্রোল সহ","","https://m.media-amazon.com/images/I/618XkcqU-hL._AC_UY654_QL65_.jpg","299.0","299.0","INR","48","100","",""
"amazon","in","search_results","term","speakers","true","","2026-01-09 13:38:11 UTC","1","15","product","B078S4P3J9","https://www.amazon.in/-/bn/dp/B078S4P3J9/","208 ট্রিবিট X সাউন্ড গো ব্লটুথ স্পিকার","","https://m.media-amazon.com/images/I/71b122pwbpL._AC_UY654_QL65_.jpg","2845.0","2845.0","INR","177","100","",""
