"source","country","topic","key","value","success","reason","updated_at","search_result.page","search_result.position","search_result.type","search_result.id","search_result.url","search_result.name","search_result.brand_name","search_result.image_url","search_result.min_price","search_result.max_price","search_result.currency","search_result.review_count","search_result.review_rating","search_result.offer_count","search_result.flags"
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","1","product","B0FBRM15FH","https://www.amazon.in/-/bn/dp/B0FBRM15FH/","Redmi A4 5G (স্টারি ব্ল্যাক, 6GB RAM, 128GB স্টোরেজ) | সেগমেন্টের বৃহত্তম 6.88in 120Hz | 50MP ডুয়াল ক্যামেরা | 18W দ্রুত চার্জিং | বাক্সে চার্জার","","https://m.media-amazon.com/images/I/710SCukwhcL._AC_UY654_QL65_.jpg","9799.0","9799.0","INR","11","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","2","product","B0DLW44CGS","https://www.amazon.in/-/bn/dp/B0DLW44CGS/","Redmi A4 5G (স্পার্কল পার্পল, 4GB RAM, 128GB স্টোরেজ) | সেগমেন্টের বৃহত্তম 6.88in 120Hz | 50MP ডুয়াল ক্যামেরা | 18W দ্রুত চার্জিং | বাক্সে চার্জার","","https://m.media-amazon.com/images/I/81BGKLI+cWL._AC_UY654_QL65_.jpg","8799.0","8799.0","INR","11","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","3","product","B0FN7QTRPY","https://www.amazon.in/-/bn/dp/B0FN7QTRPY/","Samsung Galaxy M07 (কালো, 4GB RAM, 64GB স্টোরেজ) | MediaTek Helio G99 | IP54 রেটিং | 50MP অটো ফোকাস ক্যামেরা | 7.6mm স্লিম | 5000mAh ব্যাটারি | 25W দ্রুত চার্জিং | 6 Gen OS আপগ্রেড | চার্জার ছাড়া","","https://m.media-amazon.com/images/I/610lbucItmL._AC_UY654_QL65_.jpg","7849.0","7849.0","INR","438","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","4","product","B0F53SH9LJ","https://www.amazon.in/-/bn/dp/B0F53SH9LJ/","POCO C71, কুল ব্লু (6GB, 128GB)","","https://m.media-amazon.com/images/I/51FgDipEA3L._AC_UY654_QL65_.jpg","7499.0","7499.0","INR","17","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","5","product","B0CWPDH74H","https://www.amazon.in/-/bn/dp/B0CWPDH74H/","Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB স্টোরেজ) | AI | মেটাল ফ্রেম | 50 MP মেইন ক্যামেরা (OIS) | সুপার HDR ভিডিও | নাইটোগ্রাফি | IP67 | কর্নিং গরিলা গ্লাস Victus+ | sAMOLED ডিসপ্লে","","https://m.media-amazon.com/images/I/71auR6K7DpL._AC_UY654_QL65_.jpg","24999.0","24999.0","INR","48","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","6","product","B0F788N3LJ","https://www.amazon.in/-/bn/dp/B0F788N3LJ/","CMF ফোন 2 প্রো 5G (সাদা, 8GB RAM, 128GB স্টোরেজ)","","https://m.media-amazon.com/images/I/71l4ZcTLEYL._AC_UY654_QL65_.jpg","18640.0","18640.0","INR","389","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","7","product","B0FC5QGMZ1","https://www.amazon.in/-/bn/dp/B0FC5QGMZ1/","iQOO Z10 Lite 5G (টাইটানিয়াম ব্লু, 8GB RAM, 256GB স্টোরেজ) | 6000 mAh ব্যাটারি | ডাইমেনসিটি 6300 5G প্রসেসর 433K+* AnTuTu স্কোর সহ | IP64 রেটেড এবং মিলিটারি গ্রেড শক-রেজিস্ট্যান্স*","","https://m.media-amazon.com/images/I/61vww2LWl9L._AC_UY654_QL65_.jpg","14999.0","14999.0","INR","5","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","8","product","B0DPW2M4JR","https://www.amazon.in/-/bn/dp/B0DPW2M4JR/","Motorola G35 5G (লিফ গ্রিন, 4+128)","","https://m.media-amazon.com/images/I/61s1+nNRFbL._AC_UY654_QL65_.jpg","10392.99","10392.99","INR","499","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","9","product","B0FP5F44J8","https://www.amazon.in/-/bn/dp/B0FP5F44J8/","Lava Bold N1 Lite (ক্রিস্টাল গোল্ড, 3 GB RAM, 64 GB স্টোরেজ) | 6.75"" HD+ ডিসপ্লে | 13MP AI ডুয়াল রিয়ার ক্যামেরা | 5000 mAh ব্যাটারি | সিকিউর ফেস আনলক | ফিঙ্গারপ্রিন্ট রিডার | চার্জার এবং ফোন-কভার","","https://m.media-amazon.com/images/I/71RwVkNGo4L._AC_UY654_QL65_.jpg","5999.0","5999.0","INR","54","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","10","product","B0FXRKSM84","https://www.amazon.in/-/bn/dp/B0FXRKSM84/","Motorola g35 5G (মিডনাইট ব্ল্যাক, 128 GB) (8 GB RAM)","","https://m.media-amazon.com/images/I/41fYHngudNL._AC_UY436_QL65_.jpg","12674.0","12674.0","INR","80","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","11","product","B0DX6P3RX9","https://www.amazon.in/-/bn/dp/B0DX6P3RX9/","Samsung Galaxy M06 5G (সেজ গ্রিন, 4GB RAM, 128 GB স্টোরেজ) | MediaTek Dimensity 6300 | AnTuTu স্কোর 422K+ | 12 5G ব্যান্ড | 25W দ্রুত চার্জিং | 4 Gen OS আপগ্রেড | চার্জার ছাড়া","","https://m.media-amazon.com/images/I/71evPv-TvmL._AC_UY654_QL65_.jpg","10999.0","10999.0","INR","58","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","12","product","B0G4BDQ4BH","https://www.amazon.in/-/bn/dp/B0G4BDQ4BH/","realme NARZO 90x 5G (Flash Blue,8GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in The Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker","","https://m.media-amazon.com/images/I/81RhiMu3iJL._AC_UY654_QL65_.jpg","15499.0","15499.0","INR","69","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","13","product","B0FCMLCX46","https://www.amazon.in/-/bn/dp/B0FCMLCX46/","OnePlus Nord CE5 | বিশাল 7100mAh ব্যাটারি | MediaTek Dimensity 8350 Apex | OnePlus AI দ্বারা চালিত | 8GB + 128GB | কালো ইনফিনিটি","","https://m.media-amazon.com/images/I/61IOa9IrlaL._AC_UY654_QL65_.jpg","24998.0","24998.0","INR","39","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","14","product","B0F5Q5FWT4","https://www.amazon.in/-/bn/dp/B0F5Q5FWT4/","POCO M7 5G সাটিন ব্ল্যাক 8GB RAM|128GB ROM|SD4 Gen2 প্রসেসর|6.88"" HD+ ডিসপ্লে|50MP ক্যামেরা|8MP ফ্রন্ট ক্যামেরা|5160 mAh ব্যাটারি","","https://m.media-amazon.com/images/I/71EfJ+H1uRL._AC_UY654_QL65_.jpg","10999.0","10999.0","INR","24","100","",""
"amazon","in","search_results","term","phone","true","","2026-01-09 16:39:07 UTC","1","15","product","B0FG2PFMG2","https://www.amazon.in/-/bn/dp/B0FG2PFMG2/","realme NARZO 80 Lite 4G (ওবসিডিয়ান ব্ল্যাক, 6GB+128GB) | 6300mAh সেগমেন্টের বৃহত্তম ব্যাটারি | 7.94mm স্লিম ডিজাইন | 300% আল্ট্রা ভলিউম | পালস লাইট: 9 কালার, 5 গ্লো মোড | Ai Assist","","https://m.media-amazon.com/images/I/71DKLMeMYuL._AC_UY654_QL65_.jpg","9499.0","9499.0","INR","21","100","",""
