"source","country","topic","key","value","success","reason","updated_at","search_result.page","search_result.position","search_result.type","search_result.id","search_result.url","search_result.name","search_result.brand_name","search_result.image_url","search_result.min_price","search_result.max_price","search_result.currency","search_result.review_count","search_result.review_rating","search_result.offer_count","search_result.flags"
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","1","product","B0BZHT8T7T","https://www.amazon.in/-/bn/dp/B0BZHT8T7T/","boAt Rockerz 551ANC, 100HRS ব্যাটারি, হাইব্রিড ANC(~35Db), ফাস্ট চার্জ, পরিবেষ্টিত সাউন্ড মোড এবং ডুয়াল EQ মোড, Enx টেক, ব্লুটুথ হেডফোন, মাইকের সাথে ওভার ইয়ার ওয়্যারলেস হেডফোন (সেজ গ্রিন)","","https://m.media-amazon.com/images/I/61WFLydWqpL._AC_UY654_QL65_.jpg","1599.0","1599.0","INR","34","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","2","product","B07L8KV2KC","https://www.amazon.in/-/bn/dp/B07L8KV2KC/","জেব্রনিক্স জেব-থান্ডার ওয়্যারলেস বিটি হেডফোনটি 40 মিমি ড্রাইভার, এউএক্স কানেক্টিভিটি, এফএম, বিল ফাংশন, 9 ঘন্টা*, প্লেব্যাক সময় এবং মাইক্রো এসডি কার্ড সমর্থন করে","","https://m.media-amazon.com/images/I/61i7ivBDe3L._AC_UY654_QL65_.jpg","799.0","799.0","INR","814","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","3","product","B09R24HMNW","https://www.amazon.in/-/bn/dp/B09R24HMNW/","ZEBRONICS Zeb-Bro ইন-ইয়ার ওয়্যার্ড ইয়ারফোন মাইকের সাথে, 3.5mm অডিও জ্যাক, 10mm ড্রাইভার, ফোন/ট্যাবলেট সামঞ্জস্যপূর্ণ(নীল)","","https://m.media-amazon.com/images/I/61+5q4oGJWL._AC_UY654_QL65_.jpg","139.0","139.0","INR","667","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","4","product","B0FGTZ19JS","https://www.amazon.in/-/bn/dp/B0FGTZ19JS/","pTron Studio Evo 70hrs Playtime Wireless Over Ear Headphones with HD Mic, Low-Latency Game/Movie/Music Modes, Punchy Bass, BT5.3, Dual Device Pairing, Voice Assistant & Type-C Fast Charging (Beige)","","https://m.media-amazon.com/images/I/51+Zl86jLkL._AC_UY654_QL65_.jpg","799.0","799.0","INR","918","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","5","product","B0DGTSRX3R","https://www.amazon.in/-/bn/dp/B0DGTSRX3R/","boAt Rockerz 480, RGB LEDs,6 লাইট মোড, 40mm ড্রাইভার, বিস্ট মোড, 60H ব্যাটারি, ENx Tech, অ্যাপ সাপোর্টের মাধ্যমে স্ট্রিম বিজ্ঞাপন ফ্রি সঙ্গীত, ব্লুটুথ হেডফোন, মাইকের সাথে ওয়্যারলেস ওভার ইয়ার হেডফোন","","https://m.media-amazon.com/images/I/711l4y8aNlL._AC_UY654_QL65_.jpg","1799.0","1799.0","INR","4","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","6","product","B0BS1RT9S2","https://www.amazon.in/-/bn/dp/B0BS1RT9S2/","Sony WH-CH520 ওয়্যারলেস ব্লুটুথ হেডফোন অন ইয়ার মাইক সহ, 50 ঘন্টা পর্যন্ত ব্যাটারি, কুইক চার্জ, DSEE আপস্কেল, মাল্টিপয়েন্ট সংযোগ, ভয়েস অ্যাসিস্ট্যান্ট, কাস্টমাইজড EQ-ব্লু","","https://m.media-amazon.com/images/I/41JACWT-wWL._AC_UY654_QL65_.jpg","3989.0","3989.0","INR","264","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","7","product","B0BZHRB9J1","https://www.amazon.in/-/bn/dp/B0BZHRB9J1/","boAt Rockerz 551ANC ব্লুটুথ হাইব্রিড অ্যাক্টিভ নয়েজ ক্যান্সেলেশন ওভার ইয়ার হেডফোন 100 ঘণ্টা পর্যন্ত প্লেটাইম, ASAP চার্জ, পরিবেষ্টিত সাউন্ড মোড এবং ডুয়াল EQ মোড, Enx প্রযুক্তি (স্টেলার ব্ল্যাক)","","https://m.media-amazon.com/images/I/61BrerJ+yML._AC_UY654_QL65_.jpg","1599.0","1599.0","INR","34","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","8","product","B0FC2Y8XYF","https://www.amazon.in/-/bn/dp/B0FC2Y8XYF/","boAt 2025 Launch Rockerz 411, 40Ms লো লেটেন্সি, 40Hrs ব্যাটারি, 40Mm ড্রাইভার, ENx Tech, অ্যাপ সাপোর্টের মাধ্যমে স্ট্রিম বিজ্ঞাপন মুক্ত সঙ্গীত, ব্লুটুথ হেডফোন, মাইকের সাথে ওয়্যারলেস ওভার ইয়ার হেডফোন","","https://m.media-amazon.com/images/I/71QdB7hDCAL._AC_UY654_QL65_.jpg","1199.0","1199.0","INR","273","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","9","product","B0B4G44RFS","https://www.amazon.in/-/bn/dp/B0B4G44RFS/","Zebronics Zeb-Storm অন ইয়ার ওয়্যার্ড হেডফোন 3.5mm জ্যাক সহ, কলিংয়ের জন্য অন্তর্নির্মিত মাইক্রোফোন, 1.5 মিটার কেবল, নরম কানের কুশন, সামঞ্জস্যযোগ্য হেডব্যান্ড, ভাঁজযোগ্য কানের কাপ এবং হালকা ওজনের","","https://m.media-amazon.com/images/I/61FrvQMXxJL._AC_UY654_QL65_.jpg","499.0","499.0","INR","29","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","10","product","B071Z8M4KX","https://www.amazon.in/-/bn/dp/B071Z8M4KX/","মাইক সহ boAt Bassheads 100 ইয়ার ওয়্যারড ইয়ারফোন","","https://m.media-amazon.com/images/I/513ugd16C6L._AC_UY654_QL65_.jpg","349.0","349.0","INR","43","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","11","product","B0B1PXM75C","https://www.amazon.in/-/bn/dp/B0B1PXM75C/","50 ঘন্টা প্লেটাইম, কম লেটেন্সি (40ms পর্যন্ত), 4 টি প্লে মোড, ডুয়াল পেয়ারিং, BT v5.3 (সেরিন ব্লু) সহ নতুন লঞ্চ হওয়া নয়েজ টু অন-ইয়ার হেডফোন","","https://m.media-amazon.com/images/I/517lSvEVVsL._AC_UY654_QL65_.jpg","1499.0","1499.0","INR","41","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","12","product","B08QTYYNDN","https://www.amazon.in/-/bn/dp/B08QTYYNDN/","JBL Tune 510BT, মাইকের সাথে অন-ইয়ার ওয়্যারলেস হেডফোন, 40 ঘন্টা অবধি প্লেটাইম, খাঁটি বেস, দ্রুত চার্জিং, ডুয়াল পেয়ারিং, ব্লুটুথ 5.0 এবং মোবাইল ফোনের জন্য ভয়েস অ্যাসিস্ট্যান্ট সাপোর্ট (কালো)","","https://m.media-amazon.com/images/I/61kFL7ywsZS._AC_UY654_QL65_.jpg","2499.0","2499.0","INR","277","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","13","product","B0CWVX1GNX","https://www.amazon.in/-/bn/dp/B0CWVX1GNX/","Sony ULT Wear WH-ULT900N নয়েজ ক্যান্সেলেশন ওয়্যারলেস ব্লুটুথ ওভার ইয়ার হেডফোনগুলি ম্যাসিভ বেস সহ, 50 ঘন্টা পর্যন্ত ব্যাটারি-ব্ল্যাক","","https://m.media-amazon.com/images/I/610DB8Cwm7L._AC_UY654_QL65_.jpg","14557.0","14557.0","INR","27","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","14","product","B00KGZZ824","https://www.amazon.in/-/bn/dp/B00KGZZ824/","Sonyহেডফোন MDR","","https://m.media-amazon.com/images/I/41BoLKMYjnL._AC_UY654_QL65_.jpg","868.0","868.0","INR","666","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","15","product","B0863TXGM3","https://www.amazon.in/-/bn/dp/B0863TXGM3/","Sony WH-1000XM4 ইন্ডাস্ট্রি লিড করছে ওয়্যারলেস নয়েজ ক্যান্সেলিং হেডফোনগুলি, ব্লুটুথ হেডসেট এর সাথে মাইক ফোন কলের জন্য, 30 ঘন্টা ব্যাটারি লাইফ, দ্রুত চার্জ, টাচ কন্ট্রোল এবং অ্যালেক্সা ভয়েস কন্ট্রোল","","https://m.media-amazon.com/images/I/61oqO1AMbdL._AC_UY654_QL65_.jpg","22990.0","22990.0","INR","489","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","1","16","product","B0C664NHV6","https://www.amazon.in/-/bn/dp/B0C664NHV6/","JBL Tune 770NC ওয়্যারলেস ওভার ইয়ার ANC হেডফোন মাইক সহ, 70 ঘন্টা পর্যন্ত ব্যাটারি, স্পিড চার্জ: 5 মিনিটের চার্জ 3H পর্যন্ত প্লেব্যাক দেয়, কাস্টমাইজড EQ, Google ফাস্ট পেয়ার, ডুয়াল পেয়ারিং, BT 5.3","","https://m.media-amazon.com/images/I/71PdaCws72L._AC_UY654_QL65_.jpg","5499.0","5499.0","INR","95","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","2","17","product","B08CHPGTSF","https://www.amazon.in/-/bn/dp/B08CHPGTSF/","Zebronics PC কম্পিউটার/ল্যাপটপের জন্য মাইক, ডুয়াল 3.5mm সংযোজক, সামঞ্জস্যযোগ্য হেডব্যান্ড এবং মাইক সহ Zeb-200HM হেডফোন,","","https://m.media-amazon.com/images/I/7179kqSfnAL._AC_UY654_QL65_.jpg","449.0","449.0","INR","37","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","2","18","product","B09XS7JWHH","https://www.amazon.in/-/bn/dp/B09XS7JWHH/","Sony WH-1000XM5 বেস্ট অ্যাক্টিভ নয়েজ ক্যান্সেলিং ওয়্যারলেস ব্লুটুথ ওভার ইয়ার হেডফোন সাথে ক্লিয়ার কলিং, ব্যাটারি লাইফ 30 ঘন্টা -ব্ল্যাক","","https://m.media-amazon.com/images/I/51aXvjzcukL._AC_UY654_QL65_.jpg","29193.0","29193.0","INR","164","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","2","19","product","B0BZPK3XFQ","https://www.amazon.in/-/bn/dp/B0BZPK3XFQ/","Sony WH-CH520 ওয়্যারলেস ব্লুটুথ হেডফোন মাইক সহ, 50 ঘন্টা পর্যন্ত ব্যাটারি, দ্রুত চার্জ, DSEE আপস্কেল, মাল্টিপয়েন্ট সংযোগ, ভয়েস অ্যাসিস্ট্যান্ট, কাস্টমাইজড EQ-বেইজ","","https://m.media-amazon.com/images/I/61C66qTqnwL._AC_UY654_QL65_.jpg","3849.0","3849.0","INR","264","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","2","20","product","B0B5RMKMJL","https://www.amazon.in/-/bn/dp/B0B5RMKMJL/","Zebronics Jet PRO প্রিমিয়াম ওয়্যার্ড গেমিং অন ইয়ার হেডফোন LED সহ হেডব্যান্ড + ইয়ারকাপের জন্য, 40mm নিওডিয়ামিয়াম ড্রাইভার, 2 মিটার ব্রেইডেড কেবল, মাইক সহ, সাসপেনশন ডিজাইন, 3.5mm + USB কানেক্টর","","https://m.media-amazon.com/images/I/71VR6c3j2bL._AC_UY654_QL65_.jpg","899.0","899.0","INR","47","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","2","21","product","B0BS1QCFHX","https://www.amazon.in/-/bn/dp/B0BS1QCFHX/","Sony WH-CH720N অ্যাক্টিভ নয়েজ ক্যান্সেলেশন ওয়্যারলেস ব্লুটুথ ওভার ইয়ার হেডফোন, মাইক সহ, অ্যাডাপটিভ সাউন্ড কন্ট্রোল, কুইক চার্জ, 35 ঘন্টা পর্যন্ত ব্যাটারি, কাস্টমাইজড EQ- কালো","","https://m.media-amazon.com/images/I/51rpbVmi9XL._AC_UY654_QL65_.jpg","8449.0","8449.0","INR","14","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","2","22","product","B0G599TLD9","https://www.amazon.in/-/bn/dp/B0G599TLD9/","Portronics Muffs M6 Over Ear Wireless Bluetooth Headphone with Upto 40 Hours Playtime, Dual Pairing, 40mm Driver, HD Mic, Bluetooth 5.4V, Foldable Design, Type C Fast Charging (Biege)","","https://m.media-amazon.com/images/I/61ZMTLmF4ZL._AC_UY654_QL65_.jpg","1149.0","1149.0","INR","29","100","",""
"amazon","in","search_results","term","headphones","true","","2026-01-09 16:40:06 UTC","2","23","product","B0CY1PL36Q","https://www.amazon.in/-/bn/dp/B0CY1PL36Q/","Noise Airwave Max 4 ওয়্যারলেস ওভার ইয়ার হেডফোন 70H প্লেটাইম, ENC, 40mm ড্রাইভার, লো লেটেন্সি (40ms পর্যন্ত), ডুয়াল পেয়ারিং, BT v5.4 (শান্ত বেইজ)","","https://m.media-amazon.com/images/I/614Hd3JaGOL._AC_UY654_QL65_.jpg","2499.0","2499.0","INR","25","100","",""
